,Bar_Time_UNIX,open,high,low,close,volume,Bar_Time_UTC_String
673,1623105000000,13818.0,13821.0,13816.9,13817.7,0,2021-06-07T22:30:00Z
674,1623105900000,13817.7,13818.7,13814.7,13816.7,0,2021-06-07T22:45:00Z
675,1623106800000,13816.7,13824.8,13816.4,13823.5,0,2021-06-07T23:00:00Z
676,1623107700000,13823.5,13836.7,13820.0,13832.8,0,2021-06-07T23:15:00Z
677,1623108600000,13832.8,13834.2,13823.5,13824.3,0,2021-06-07T23:30:00Z
678,1623109500000,13824.3,13828.5,13820.8,13825.0,0,2021-06-07T23:45:00Z
679,1623110400000,13825.0,13845.4,13822.8,13841.0,0,2021-06-08T00:00:00Z
680,1623111300000,13841.0,13846.9,13837.9,13840.0,0,2021-06-08T00:15:00Z
681,1623112200000,13840.0,13843.9,13837.7,13841.2,0,2021-06-08T00:30:00Z
682,1623113100000,13841.2,13848.4,13839.3,13847.2,0,2021-06-08T00:45:00Z
683,1623114000000,13847.2,13867.7,13846.4,13865.8,0,2021-06-08T01:00:00Z
684,1623114900000,13865.8,13867.4,13857.0,13857.7,0,2021-06-08T01:15:00Z
685,1623115800000,13857.7,13860.9,13851.8,13860.4,0,2021-06-08T01:30:00Z
686,1623116700000,13860.4,13862.7,13854.3,13855.8,0,2021-06-08T01:45:00Z
687,1623117600000,13855.8,13859.9,13852.0,13855.0,0,2021-06-08T02:00:00Z
688,1623118500000,13855.0,13856.5,13847.2,13849.4,0,2021-06-08T02:15:00Z
689,1623119400000,13849.4,13852.0,13847.3,13848.0,0,2021-06-08T02:30:00Z
690,1623120300000,13848.0,13850.0,13834.2,13836.7,0,2021-06-08T02:45:00Z
691,1623121200000,13836.7,13842.0,13833.3,13841.4,0,2021-06-08T03:00:00Z
692,1623122100000,13841.4,13843.2,13837.9,13842.0,0,2021-06-08T03:15:00Z
693,1623123000000,13842.0,13842.5,13837.8,13838.0,0,2021-06-08T03:30:00Z
694,1623123900000,13838.0,13838.4,13828.7,13836.9,0,2021-06-08T03:45:00Z
695,1623124800000,13836.9,13837.5,13831.9,13833.5,0,2021-06-08T04:00:00Z
696,1623125700000,13833.5,13835.8,13832.5,13834.7,0,2021-06-08T04:15:00Z
697,1623126600000,13834.7,13836.8,13831.8,13834.3,0,2021-06-08T04:30:00Z
698,1623127500000,13834.3,13840.4,13832.4,13840.2,0,2021-06-08T04:45:00Z
699,1623128400000,13840.2,13842.2,13834.7,13836.5,0,2021-06-08T05:00:00Z
700,1623129300000,13836.5,13838.4,13825.2,13828.7,0,2021-06-08T05:15:00Z
701,1623130200000,13828.7,13829.5,13823.5,13827.3,0,2021-06-08T05:30:00Z
702,1623131100000,13827.3,13828.9,13821.4,13822.8,0,2021-06-08T05:45:00Z
703,1623132000000,13822.8,13839.0,13822.0,13835.2,0,2021-06-08T06:00:00Z
704,1623132900000,13835.2,13836.2,13826.5,13830.9,0,2021-06-08T06:15:00Z
705,1623133800000,13830.9,13835.7,13828.5,13832.3,0,2021-06-08T06:30:00Z
706,1623134700000,13832.3,13833.3,13824.5,13828.2,0,2021-06-08T06:45:00Z
707,1623135600000,13828.2,13831.3,13796.7,13804.9,0,2021-06-08T07:00:00Z
708,1623136500000,13804.9,13815.2,13798.5,13812.9,0,2021-06-08T07:15:00Z
709,1623137400000,13812.9,13813.4,13794.7,13801.9,0,2021-06-08T07:30:00Z
710,1623138300000,13801.9,13807.9,13799.0,13804.0,0,2021-06-08T07:45:00Z
711,1623139200000,13804.0,13811.7,13800.7,13802.7,0,2021-06-08T08:00:00Z
712,1623140100000,13802.7,13812.9,13802.4,13811.0,0,2021-06-08T08:15:00Z
713,1623141000000,13811.0,13820.8,13810.9,13818.4,0,2021-06-08T08:30:00Z
714,1623141900000,13818.4,13835.5,13817.9,13835.0,0,2021-06-08T08:45:00Z
715,1623142800000,13835.0,13845.2,13825.4,13838.2,0,2021-06-08T09:00:00Z
716,1623143700000,13838.2,13849.0,13838.2,13845.4,0,2021-06-08T09:15:00Z
717,1623144600000,13845.4,13847.7,13838.9,13840.2,0,2021-06-08T09:30:00Z
718,1623145500000,13840.2,13851.9,13839.9,13848.4,0,2021-06-08T09:45:00Z
719,1623146400000,13848.4,13848.8,13829.9,13833.2,0,2021-06-08T10:00:00Z
720,1623147300000,13833.2,13833.2,13790.2,13799.2,0,2021-06-08T10:15:00Z
721,1623148200000,13799.2,13840.2,13788.0,13829.7,0,2021-06-08T10:30:00Z
722,1623149100000,13829.7,13850.2,13829.7,13845.9,0,2021-06-08T10:45:00Z
723,1623150000000,13845.9,13865.9,13839.0,13864.0,0,2021-06-08T11:00:00Z
724,1623150900000,13864.0,13866.2,13855.4,13858.2,0,2021-06-08T11:15:00Z
725,1623151800000,13858.2,13877.5,13855.2,13874.9,0,2021-06-08T11:30:00Z
726,1623152700000,13874.9,13880.0,13870.5,13877.2,0,2021-06-08T11:45:00Z
727,1623153600000,13877.2,13885.7,13872.9,13875.9,0,2021-06-08T12:00:00Z
728,1623154500000,13875.9,13898.9,13874.7,13891.8,0,2021-06-08T12:15:00Z
729,1623155400000,13891.8,13897.5,13880.0,13888.9,0,2021-06-08T12:30:00Z
730,1623156300000,13888.9,13891.4,13872.9,13879.0,0,2021-06-08T12:45:00Z
731,1623157200000,13879.0,13884.9,13878.2,13881.3,0,2021-06-08T13:00:00Z
732,1623158100000,13881.3,13897.8,13878.5,13882.9,0,2021-06-08T13:15:00Z
733,1623159000000,13882.9,13918.7,13865.5,13912.7,0,2021-06-08T13:30:00Z
734,1623159900000,13912.7,13918.4,13834.0,13842.5,0,2021-06-08T13:45:00Z
735,1623160800000,13842.5,13857.2,13825.3,13852.2,0,2021-06-08T14:00:00Z
